今日も皆さま一日お疲れ
こちらは、島根県出雲市にある小さな牧場から配信しています。
スーパーやコンビニ、皆さんがいつでもどこでも買うことができる牛乳。
普段飲んでいる牛乳の魅力や酪農の魅力を、酪農家がお話しする放送となっております。
牧場の日常や牛の鳴き声を聞きながら、お手元に牛乳、ホットミルクを準備して聞いていただくと、
より美味しい牛乳を味わうことができると思います。
牛乳飲む?牧場配信始まりです。
はい、おはようございます。
今日が2月の27日の金曜日でございます。
今日の天気は曇りの地雨という天気ですね。
最高気温13度と昨日と変わらず、ちょっとグズつく天気になっておりますね。
大飛の注文もある程度落ち着いたんで、天気が悪くてもまあまあまあ、ということです。
今日のお仕事は策定が久々に策定士さんが来ていただけるということなので、策定の対応をしようかな、というところです。
でもまたね今週はですねあの1週間に一度の生態の日ですね好きですんではい 策定者にちょっとお任せしてねはい
楽能は年々件数が張り世界経済は不安定で厳しい業界だと思います どうしたら新規収納が増え農業が豊かになり興味関心が増えると思いますか
また行政からの現状の支援で足りていると思いますか 私は支援というよりは入荷を上げる販売価格を上げるが必要かなと思います
長々と長文を送り申し訳ございませんよろしくお願いしますという質問が来ております ありがとうございます
はいなんかいろいろあったんでしょうかと思いますけども本当にあの私にですね dm をこうやって送っていただいたのがまずありがとうございますというところですけども
はいあのいろいろね考えるところがあるかなと思いますけどとりあえず ちょっとねまとめてきましたんでそちらをお話ししてですねで最後に自分の僕のね
個人的なまあ意見ですけどもはいあのいろいろ僕も考えてね新規収納やってみようかなぁ とか思ってたこともありますのでそちらをお答えしていこうかなと思います
はい えっとまずいただきますの裏側を知る場所を作りたいというところですね
これは本当に大切な視点で今の日本では食べ物の背景を知る機会は多くありません そうですねお魚がもう切り身で泳いでるって思ってる
あ切り身で a スプーンを泳いでると思ってるね 子供たちとか牛乳が工場でできているっていう
はいそう思われる方もまあ大人でもいますからねはい 牛乳やお肉がどうやって生まれるのかどんな循環の中にあるのか
知らないままでも生きて生きる社会ですでも触れた経験は残ります 説明が理解できなくても牛に触れた記憶は残るこれは楽能の強みだと私も思っています
はいでこれ次ですね日の丘からの新規収納は現実的か 正直に言いますこれ簡単ではありません
現在の音物価の関係とかまあ条件とかいろいろ考えると初期投資もありますし技術の 習得
あとは経営何よりも土地ですねはい まあ餌も手に入る難しいでしょ
対処理どれも重たいですでも無理ではありませんはい 現在ね新規収納して去年もですね新規収納された方いっぱいいますはい
今日本の楽能は家族型継承で家族型の継承では維持できなくなっています 外から入る人はむしろ必要です
ただし憧れだけでは続かないのが現実です 経営として成立する設計がまあ必要ですということですね
続いて放牧楽のは現実的かというところですね 放牧は理想に見えますそうですねこのいつきさんも言われているように海外に依存せずに
まああの自分のところで自給したね エサで回していってはい
証明レースを目指していくという形 本当にあの循環型楽のですよねはいここもですねちょっと一旦冷静になってまで見てもらいたい
んですけども これからですね気候条件とても厳しくなってきます
はい地球温暖化って言って2050年ぐらいには平均気温がね 30度40度になっていくみたいな予測をしている学者さんもおられますし
あと土地の面積ですねはい有効な土地はですね まあ牛を買うという条件にやられないのでまあ高廃地とかまあ中山館地とか
まあ条件が悪い土地ばかりが出てくる そこをうまいこと使わないといけないというところも出てきますね
はいで先ほど気候気候変動の関係もありますけども装置管理技術 ここらへんもですね
a まあ例えばですよ日本がまあ熱帯 まあ四季があってアネッタイのところがですねもう熱帯地域みたいな形になってくる
浮きがあってもうなんでしょうねずーっと梅雨みたいな で8
雨がドカッと降ってみたいな雪がとかと降ってみたいな 地域によってはですねはいそんなあの気候にもなってきてますんで装置管理もとても
難しくなっていますねはい あとは冬場の飼料確保こちら放牧楽のまあ一番の難点というか考えないといけない
ところですねはい春から秋までの餌はまあまあ もう放牧では何とかなるかなと思いますけど冬の間どうするのかですね
はいあとは入料の変動はいあのインサイダーアウトサイダーでインサイダーに 出荷したいということを言われてますけども
まあインサイダーまあ全量出荷で契約するのでまあいいんですけども あの入料の変動があるってことは売上が変動があるってことなんで売上が変動があるって
ことはその明日の月も出てくるってことはそこらへんはどうやって しのいでいくのかというのがまあしっかり考えないといけないというところがありますね
はい放牧イコール楽っていうイメージがあるかもしれませんが楽ではまずありません はいむしろ管理はかなり高度です
夫婦2人でできる形を目指すなら等数を抑える直販を組み合わせる 特別は直接消費者に販売するですねはいこれはインサイダーじゃなくてアウトサイダーになって
きますけどもはい あとは単価を上げる設計が必要になりますということですねはい
続いて新規収納者を増やすにはということですねはい 支援金よりも大事なのは見える未来です
5年後どうなるか10年後どうなるのか借り入れを返せるのか ここが見ないと人は入れません私は価格が上がることは必要だと思いますし
ただし単純な値上げではなく価値に納得して払われる価格が必要だと考えています というところですねはいあの今の条件であの楽のを新規収納するって方はですね
まあかなりやべえ奴というか何も考えてないか周りがあの 思いでお前できるよってやってやってるかかどうかですねまず採算が合わないって計算すれば
はいわかります普通にあの5年計画みたいな出してみてもらえたらあの 筆をなめなめペンをなめなめって言うんですけど数字を合わせたりとかしてで借り入れ
するしかないかなというところがあったりするので まあまあまあまあ条件によりますけどねここらへんもね
はいそれの中で新規収納するっていうのはですねかなりちょっと ぶっ飛んだなというところがありますねはい
で行政支援は足りているかというところですねはい あのい月さんは感じ取られないかもしれないですけどあの農業支援めっちゃしてるんですよね
であの農業予算農水省の予算ね見ていただけたらいいかなと思いますけど新規収納の やつの予算でどんどんどんどん上がっているのではい
あのそろそろあの新規収納のやる額に対しては少ないかもしれないですけど 支援はかなりあの充実してきてますそれもあのネットの音普及とか
sns の普及とかこうやってねあの直接楽のが行けるっていうのもかなり新規収納の ハードを下げている部分があると思いますはい
なのでまぁ研修制度とか補助金とか融資制度はい まあこういうのあるのでしっかり調べていくっていうのは大事かなと思いますこれ各地域
市町村でもあのその新規収納向けの支援金違いますのでね ここら辺も比較して探していった方がいいんじゃないかなと思いますね
はいただし続く設計まで面倒を見ているかここは疑問が残りますそうですね 新規収納までは支援するけど新規収納してからがあの
また難しいとですねはい 制度は入り口で出口の経営設計は自己責任です
ここにギャップがありますということですねはい あとは閉鎖感をどう破るか
いつきさんが言ってくれたようにですね発信は一つの突破校です顔がに牧場もやって おります
はい毎日見せる隠さない弱さも見せる閉鎖感は情報不足から生まれます だから私は配信しています
これですねはい最後に非農家だからこそできる牧場 それはありますはい実際やっている方がおられます
はい外の視点多業界の経験経営感覚 これらは武器になります
しかし理想だけではなく数字も見て夢だけではなく資金繰りも設計する ここまでやれば可能性は十分あります私は無理だとは言いません
でも覚悟と設計は必要と言いますということですねはい a インスタグラムネームいつきさんの質問ですね
熱いメッセージありがとうございましたということでまとめられておりますはい ありがとうございます
はいじゃあここからは私の音個人的な話をちょっとしようかなと思いますけれども あのまずですねいろんなところに行って経験を積むってのすごい大事なんですけど
あの 経験ですからいつか生きるかなと思いますけれども
あのまずやってみるのが一番大事ですね 今の条件いつきさんがある条件の中でどうやったらもう牛会がスタートできるか
っていうのを考えるわけです 開いた牛舎がないか開いた牛舎で1頭からでも始めれば
まあ牛会にもなれますからはいで働きながらね牛を買うっていうのも全然 あの育成牛とか甲子とかだったらあの作業がないんでそういうのもできると思います
はい実際ですね川上牧場も今来て研修生はですね 川上牧場の開いた牛舎に自分の牛を買ってですね別の牧場からこの牛が欲しいって言って買って
そういうふうに牛を飼っている子もいます 今の日本の法律そしてJAとかの規則のルールの中でしっかりと飼っていることをそういう
ことをやっている子がもういます もう世の中探してみればそんなことをやっていることはいるんですけど
はいそれはまずなぜやらないのかなっていうところは疑問があるところですねはい でですねあのいろんな楽能家さんに無理だとか
そんなできるわけないっていうのはこれはもう当たり前なのではいやったことがないから 無理だって言ってるんでその楽能家さん相談した楽能家さんを新規収納したのか
それとも代々継いでやっているのかわからないですけども 経験がないからできないって言ってる
はいまあそりゃそうですよね今までアメリカに行ったことない人はアメリカに行くので無理だって 言ってたんですけど一人アメリカに行ったらね
アメリカ大陸っていうのは見つかったんですけど 全然できますよインドインドへまで故障取り切ったりするとかね
はいあんなに行った歴史を見ればもうやったことないってもまぁそんなことね もう当たり前なんですけど
はいでそのやってみたことがその無理だって言われている方を説得するために何が大事か っていうと経営計画とか自分のビジョンがしっかりしてるってのが大事なんですけど
い月さんはどうですかね自分のやりたい牧場を紙に書いて細かく柱の位置 思想の位置そして作業動線1日のスケジュール中止計画
あとは借り入れの計画ここらへんまで作ってますかねはい あの作った方がいいと思いますもしやっていないのならば
はいでここまでやってこれを見せてこれでどうぞどうやったらできますかっていうように するとですね
相談した相手の目つき変わります 単純にですねいつ木さんが何か今お仕事されていると思いますけれども
そのお仕事で専門職をいつ木さんが持っていると思います 新しい若い子が来てですね
あーその仕事を終わっては似合いですよって言って怒られて来られたらですね いや無理だよ君にはって言うと思いますそれと同じ構造だと思ってください
なのですべて論破できるような形で完璧な計画書を作ってみてください はいこれはもう全然牛買わなくてもできることなんでここはあの誰でもできると思います
はいですねで初期投資のノーアのとかハードルとかいろいろあったり支援とかいろいろ あるかもしれませんけれども
はいそこらへんはまあ情報しっかり調べたらはい 今はネットでもね ai でも電話もつけられますシャットもできますし全然できますんではい
いろんなところでをかけてみればいいんですよ 冷静ですやってる人たちに聞けばいいんですよ
はいやってますかっていうところなんですけどはい まあそういうところですかねはいで8最後の質問ですねどうしたら新規収納が増えて農業が豊か
になり興味関心が増えると思いますか 行政からの支援で足りていると思いますかという点ですね
はいえっと新規収納が増える必要がそもそもあるのかっていうところですよね はい人口をこんだけ減ってってで8法人科の落の経営が増えていって
生産維持とかはできるんですよねはい あの牛乳飲む人は今その余ってる状況なので新規収納増やす必要があるのそもそもそういう
ところなんですけどやりたい人がいればもう全然をやってやった方がいいよっていうし 楽能ってすごい素晴らしいこと仕事だよとは思うんですけど
それでその家族が幸せなのかっていうところ 自分が幸せなのかっていうところをしっかり考えてもらって
はい新規収納が増えるのはいいことだかなと思いますけど楽能業界にね無茶して入って でそのあんまりいいイメージを持たないような楽能で厳しいよねって同じようなことを思う
人が増えるのは僕はちょっと反対だなと思うのではい そもそも増える方がいいのかというところですね
はいで農業がどうやったり豊かなに興味関心が増えると思いますかというところです これはもう体験してもらうというのが一番早いので私あのタイミングとかね隙間バイトとか
研修生制度とかやっておりますけど受け入れいろいろやってですね みなさんの生活の中ではいあの農業とかはい入れるような隙間をね
どんどん狙って音声配信もそうですし あとは sns の運用もそうですしはい
楽の全く知らないという方牛乳乳製品も全くも飲まない嫌いっていう方もですね 牛が好きっていうのはあるかもしれないですし
川上牧場とアーティストが作ったイラストレーターの方が作った あのグッズは好きって思ってくれるかもしれないですし音楽は好きって言われるかもしれない
はいあの単純に川上さんが面白くて好きって思われる方もおられますし そういう方が増えればまあいいんじゃないかなというようなところですね
はい行政からの支援台たりてると思いますかという最後のところですけれども あの行政からの支援って結局税金なのではい
あの国民の皆さんが豊かにならないといけないんですよね 構造としてですよ構造としてはいじゃあ楽の業界が
8社会を良くしているのかというところ ここをもうちょっとねあの考えていかないといけないかなというところですけども
楽能業界に支援するより今だったらテック系とかね ai とか そっちの方に投資した方があのいいじゃないですか
皆さんの利益収益が上がるじゃないですか ねそうすると皆さんの利益収益があって8賃金があって物価があって皆さんが豊か
になって牛乳乳製品で農産物を買う人が増えるっていう感じじゃないかなと思うので はい
行政頼りっていうのはもうそもそもちょっと今からだったらあんまりこうなんだろう 頭の中に行政が何もしてくれないみたいなのはもう捨てたほうがいいんじゃないかな
思ったりしてますはいで直接ね消費者とつながったりとか あのまあ
b 2 b もですし b 2 c もですし父資金をね集める方法っていうのができるようになってき てますんではいあのクラウドファンディングもそうですし
はいあとは投資家を集めるみたいなのもフィンテックじゃなくてなんだっけ ファイナンスだ米間違いだフィンテックは健康ですかはい
あのファイナンス関係で資金を集めるというのも全然できる投資家から直接集めるという のできますし銀行に頭を下げるというのもありますし
何でもあると思いますのではいあの まああまり固く考えずにはいできることを全部やっていったらどうじゃないいいん
じゃないかなというところでございますはい どういうような感じですかね個人的なことをだらだらとお話ししましたけども
はいあの もしねあの
8本当に新規収納目指して経験が作りたいみたいなことがありましたら 川上牧場メンバーシップでそういうことも対応できますのではい
興味がありましたらねそちらの方 検討していただけたらいいかなと思います本当にあの計画書
新規収納の計画書とどういう牧場を作りたいのかっていうのをあの一緒に考えることが できますのではい
ぜひ活用していただけたらいいんじゃないかなというところでございますはい 熱いメッセージが来たんでちょっとね長くなってしまいましたけれども今日はねこれで終わって
いこうかなと思います どうしろし新規収納を目指す人たちからのメッセージお待ちしておりますよろしくお願いします
はいあライブ配信で質問を打ってますねはい 犬切って牛屋でもあるならまだ行けるんでしょうかということですけどもはい第3者
継承はねもう北海道の方だったらバンバン開いてますから 条件がいいところがあっているところはまたそろそろは違いますし
その 牛買いには慣れますけどやっぱりあの子供ができたりとかしたら保育園とか幼稚園とか
あとねあの なんでしょ生活するインフラが整ってないと難しいみたいなところもありますから
あのあんまり盲目にならないで 牛買いだけやればいいってなる子がいっぱいいるんですけどもうしがいればもう人生
全然いいみたいなことを思ったりする子がいますけど 違いますが人生幸せにならないと長続きしないだったらね
はいそこらへんもしっかり考えてもらってあのまあ北海道に行けばあの空いている 牧場は結構いっぱいありますよ
いうのですねはいはいそんな感じでございます 8圧倒はいいかなはいじゃあ今日はこんな感じで終わっていこうかなと思いますけれども
川上牧場初のキンドル本楽の未経験者のために絶賛発売中でございます キンドルアンリミテッド登録していただくと500万冊が読み放題というのはその中の一冊になって
おりますのでぜひこちらもよろしくお願いします あと3月6回行われます楽の dx サミットイン岡山ですね
こちら昨日をスポンサー枠を購入していただいた方もおられますありがとうございます ありがとうございますしかし学生さんの枠は残り1は書いてます
学生さんがいない スポンサーの予算いっぱいいただいているのに学生さんがいないというね
そういう構図になってもぜひまだ間に合いますのではい ぜひあの学生さんあと一枠ですはい岡山にお住まいの方
はい参加費交通費あのスポンサーさんからの支援で無料でできますのでね ぜひ皆さんよろしくお願いしますということでこちら概要欄の方にリンク貼っておりますのでぜひ
こちらも見てくださいはいということでじゃあ今日はこんな感じで終わります お仕事の方学校の方行ってらっしゃいみんな牛乳飲んでね
ばいばーい 川上牧場ではリスナーの皆様からのお便り
ご感想を募集しております 川上牧場とをやってみたいことやってほしいことなど
ご自由にコメント欄や dm などでお気軽にお寄せください 皆さんのご意見が
新しい楽能を作っていきます 最後まで配信を聞いていただいて
ありがとうございます 次回の配信も
ぜひお楽しみに
me 神僕の
キャビンのなの わーわーわー
